,Point Estimate,Lower Bound,Upper Bound
10.745681,0.5849056603773585,0.4615000000000001,0.6897035127296165
10.922925,0.5769230769230769,0.45161290322580644,0.6861498193614982
11.10017,0.5523809523809524,0.4230555555555556,0.6603816859961917
11.277415,0.5742574257425742,0.4523073836276084,0.690292800174806
11.45466,0.5656565656565656,0.4421052631578947,0.6792641509433962
11.631906,0.5684210526315789,0.44729532163742697,0.6789077375800588
11.809151,0.5652173913043478,0.4367595048629532,0.6730867346938776
11.986396,0.5869565217391305,0.45357756504663727,0.6966446758066179
12.163641,0.6222222222222222,0.4883422778771616,0.7272727272727273
12.340886,0.6136363636363636,0.47612781954887223,0.7272727272727273
12.51813,0.6236559139784946,0.49987113402061867,0.7272727272727273
12.695375,0.6326530612244898,0.5116279069767442,0.7378957365977206
12.872621,0.6732673267326733,0.5541545492314085,0.7708607456140351
13.049866,0.6534653465346535,0.5333333333333333,0.7580645161290323
13.227111,0.6788990825688074,0.5681748035914703,0.7719385096404376
13.404356,0.6788990825688074,0.5686274509803921,0.7767259978425026
13.581601,0.7017543859649122,0.5981308411214953,0.7850501903772932
13.758846,0.6842105263157895,0.5822514335172563,0.7787610619469026
13.936091,0.7,0.6050201330532212,0.7862068965517242
14.113336,0.7166666666666667,0.621301433194637,0.8034188034188035
14.290581,0.7317073170731707,0.631578947368421,0.8148290598290597
14.467826,0.7142857142857143,0.6186919555264879,0.7941834050693447
14.645071,0.7286821705426356,0.6332894736842105,0.8053737882177479
14.822316,0.7164179104477612,0.6211990595611285,0.8
14.999561,0.7164179104477612,0.6240844087896756,0.8
15.176806,0.725925925925926,0.6299212598425197,0.8067353447403057
15.354052,0.7111111111111111,0.6128959604766057,0.7916666666666666
15.531297,0.704225352112676,0.6111005089058524,0.7814694019817756
15.708541,0.7421383647798742,0.6666666666666666,0.8148266100495399
15.885786,0.7486033519553073,0.6711366096557697,0.8140778744019498
16.06303,0.7564766839378239,0.6853779921836834,0.8186058561272442
16.240276,0.7628865979381443,0.6900584795321637,0.8324873096446701
16.417522,0.7741935483870968,0.7156697653154527,0.8326180257510729
16.594767,0.7698744769874477,0.7117013456971616,0.8264462809917356
16.77201,0.7674418604651163,0.7101909150757076,0.821303091932679
16.949257,0.779783393501805,0.7208911664675062,0.8338989039947295
17.126501,0.7724137931034483,0.7160343270099367,0.8271424323520665
17.303747,0.764525993883792,0.7098715651135007,0.8141909846656428
17.480991,0.7596439169139466,0.7043936989361076,0.8067226890756303
17.658237,0.7653631284916201,0.7129895069905744,0.8123252900131775
17.835482,0.7591623036649214,0.7091360853217528,0.8038764952925695
18.012728,0.748792270531401,0.7012331154684096,0.796384008148714
18.189972,0.7564102564102564,0.7098282664191228,0.7966110578118892
18.367216,0.7771428571428571,0.7405910046540044,0.8188279531019179
18.544462,0.7829181494661922,0.7450894693541753,0.8191563238770686
18.721706,0.7897271268057785,0.7540383958628092,0.8214860318853299
18.898952,0.8059259259259259,0.770126291618829,0.8359190020813677
19.076197,0.8111111111111111,0.7769623262429018,0.8406321830849761
19.253443,0.8166449934980494,0.7844117076952898,0.844502105945776
19.430687,0.8256658595641646,0.7972133404194147,0.8520746494884426
19.607933,0.8320180383314544,0.8069315451061896,0.8574539358409814
19.785177,0.8394793926247288,0.8147345007545271,0.8645136103118016
19.962421,0.8440748440748441,0.8190380245417361,0.8675925962597131
20.139668,0.8479355488418933,0.8231484789541238,0.87090560265865
20.316912,0.8513902205177373,0.8267929518197137,0.8730399517599348
20.494158,0.8532110091743119,0.8306207318899963,0.8754543828711174
20.671402,0.8522829006266786,0.829225352112676,0.8731915797492089
20.848648,0.856140350877193,0.8330235870077698,0.8795845993316449
21.025892,0.8541846419327006,0.8310065671023146,0.8737209869264001
21.203138,0.8573839662447258,0.8328970347059085,0.8777231110433216
21.380383,0.8597510373443984,0.8387622281510226,0.8797398161727603
21.557627,0.8628099173553719,0.8413213463978267,0.8814726895791896
21.734873,0.8641571194762684,0.8426222076745493,0.8841770412981884
21.912117,0.8630024610336341,0.8422802530623233,0.8832498144507089
22.089363,0.8685064935064936,0.8481835175218767,0.8867488558886709
22.266607,0.8725806451612903,0.8510989307700616,0.8911356990711365
22.443853,0.8758064516129033,0.8550772755235183,0.8945354351098093
22.621098,0.8798701298701299,0.859855202058855,0.8982539289530611
22.798344,0.8834555827220864,0.8647194469602626,0.9031758832565284
22.975588,0.8914285714285715,0.8734658552642143,0.9093799682034976
23.152832,0.8962025316455696,0.8768019682809403,0.9142381348875936
23.330078,0.8984238178633975,0.8809704008757101,0.9162324686992428
23.507322,0.8987341772151899,0.8801445714594384,0.9181253383110058
23.684568,0.9040074557315937,0.8835866382825529,0.9218063768155594
23.861813,0.90234375,0.8835762860671716,0.9195440759543746
24.039059,0.9065880039331367,0.886638096281286,0.9245700350568146
24.216303,0.9066937119675457,0.8870891661594644,0.9253211802336815
24.393549,0.9090909090909091,0.8891304347826087,0.9278366674207414
24.570793,0.9092920353982301,0.8888825757575757,0.9291472700527819
24.748037,0.9097142857142857,0.8912268644118888,0.9281826665183481
24.925283,0.910394265232975,0.8883493656560844,0.9298495831235198
25.102528,0.912621359223301,0.8927634558106013,0.9324041621029573
25.279774,0.9183168316831684,0.898008681084374,0.9376500296022534
25.457018,0.9257294429708223,0.9049467669335058,0.9439379867868375
25.634264,0.9312762973352033,0.9117157355928074,0.9504132231404959
25.811508,0.9319826338639653,0.9123853602258902,0.9495813433286984
25.988754,0.9425981873111783,0.9228287950074352,0.9600030674846626
26.165998,0.9443561208267091,0.9255663430420712,0.96190584909763
26.343243,0.9441624365482234,0.923852330410706,0.9630903346726224
26.520489,0.9440559440559441,0.9249932795698925,0.9619377162629758
26.697733,0.947935368043088,0.9258589511754068,0.9658707667232431
26.874979,0.9518716577540107,0.9326047358834244,0.9676316803699897
27.052223,0.9497206703910615,0.9297845848016626,0.967032967032967
27.22947,0.9475728155339805,0.9261403045612183,0.9659123070325901
27.406713,0.9494949494949495,0.9306051354968217,0.9683825588995051
27.58396,0.9543568464730291,0.9336030428769018,0.9735261068399549
27.761204,0.9578059071729957,0.9385857367298844,0.9751063063680944
27.938448,0.9569160997732427,0.9363563719385638,0.973568281938326
28.115694,0.9594594594594594,0.940360102312603,0.9774774774774775
28.292938,0.960919540229885,0.9403661513870947,0.9791254970878219
